Section,Mass,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Compression_Class_S355,Compression_Class_S460
UB 760 x 380 x 484,484,823,390,29,52.1,20,719.1,679.1,61826.56,3.114,6987600000,16980000,19530,336,24780,516600000,2649000,4119000,91000,156,42790000,7.65E+13,1,1,1,1
UB 760 x 380 x 434,434,813,387,25.9,47,20,719.1,679.1,55343.46,3.088,6188400000,15220000,17400,334,22060,455100000,2352000,3646000,90000,143,31270000,6.66E+13,1,1,1,2
UB 760 x 380 x 389,389,803,385,23.6,41.9,20,719.1,679.1,49579.48,3.064,5451900000,13570000,15450,331,19980,399300000,2074000,3211000,89000,130,22470000,5.77E+13,1,1,2,3
UB 760 x 380 x 350,350,795,382,21.1,38.1,20,719.1,679.1,44618.44,3.041,4868800000,12240000,13860,330,17830,354600000,1856000,2865000,89000,120,16750000,5.07E+13,1,1,3,4
UB 760 x 380 x 314,314,786,384,19.7,33.4,20,719.1,679.1,40162.8,3.034,4288600000,10910000,12320,326,16500,315700000,1644000,2537000,88000,109,11820000,4.46E+13,1,1,4,4
UB 760 x 380 x 284,284,780,382,18,30.1,20,719.1,679.1,36296.16,3.018,3837500000,9839000,11070,325,15040,280000000,1466000,2259000,87000,101,8750000,3.93E+13,1,1,4,4
UB 760 x 380 x 257,257,772,381,16.6,27.1,20,719.1,679.1,32909.04,3,3420500000,8861000,9951,322,13790,250100000,1313000,2020000,87000,94,6511000,3.47E+13,1,1,4,4
UB 690 x 360 x 802,802,826,387,50,89.9,20,645.9,605.9,102235.96,3.066,10631700000,25740000,30930,322,40740,875400000,4524000,7146000,92000,253,206100000,1.18E+14,1,1,1,1
UB 690 x 360 x 548,548,772,372,35.1,63,20,645.9,605.9,69889.96,2.927,6729300000,17430000,20380,310,27740,543000000,2919000,4565000,88000,184,70650000,6.79E+13,1,1,1,1
UB 690 x 360 x 500,500,762,369,32,57.9,20,645.9,605.9,63751.96,2.902,6062300000,15910000,18490,308,25190,486700000,2638000,4114000,87000,171,54590000,6.01E+13,1,1,1,1
UB 690 x 360 x 457,457,752,367,29.5,53.1,20,645.9,605.9,58369.86,2.879,5465500000,14530000,16800,306,23080,438900000,2392000,3723000,86000,159,42280000,5.34E+13,1,1,1,1
UB 690 x 360 x 419,419,744,364,26.9,49,20,645.9,605.9,53392.76,2.856,4953900000,13310000,15310,304,20990,395000000,2170000,3369000,86000,148,32990000,4.76E+13,1,1,1,1
UB 690 x 360 x 384,384,736,362,24.9,45,20,645.9,605.9,49008.76,2.836,4488800000,12190000,13960,302,19340,356700000,1970000,3054000,85000,138,25690000,4.25E+13,1,1,1,2
UB 690 x 360 x 350,350,728,360,23.1,40.9,20,645.9,605.9,44718.58,2.815,4034000000,11080000,12630,300,17850,318700000,1771000,2742000,84000,128,19530000,3.75E+13,1,1,1,2
UB 690 x 360 x 323,323,722,359,21.1,38.1,20,645.9,605.9,41325.54,2.803,3710400000,10270000,11660,299,16290,294300000,1640000,2532000,84000,120,15670000,3.44E+13,1,1,2,3
UB 690 x 360 x 289,289,714,356,19,34,20,645.9,605.9,36825.36,2.78,3262400000,9138000,10320,297,14620,256100000,1438000,2217000,83000,110,11200000,2.96E+13,1,1,3,4
UB 690 x 360 x 265,265,706,358,18.4,30.2,20,645.9,605.9,33845.6,2.773,2917900000,8266000,9333,293,13980,231300000,1292000,1994000,82000,102,8337000,2.64E+13,1,1,3,4
UB 690 x 360 x 240,240,701,356,16.8,27.4,20,645.9,605.9,30708.32,2.758,2626800000,7494000,8433,292,12750,206300000,1159000,1786000,81000,95,6272000,2.34E+13,1,1,4,4
UB 690 x 360 x 217,217,695,355,15.4,24.8,20,645.9,605.9,27890.52,2.745,2357900000,6785000,7613,290,11650,185100000,1043000,1605000,81000,88,4715000,2.08E+13,1,1,4,4
UB 686 x 254 x 192,192,702,254,15.5,27.9,20,645.5,605.5,24500,2.355,1994400000,5682000,6504,285,11900,76450000,602000,943000,55000,94,4797000,8.66E+12,1,1,4,4
UB 686 x 254 x 170,170,692.9,255.8,14.5,23.7,20,645.5,605.5,21680,2.346,1717800000,4958000,5676,280,10990,66330000,518600,813300,55000,85,3216000,7.40E+12,1,1,4,4
UB 686 x 254 x 152,152,687.5,254.5,13.2,21,20,645.5,605.5,19410,2.332,1518100000,4416000,5046,278,9981,57860000,454700,712000,54000,78,2312000,6.41E+12,1,1,4,4
UB 686 x 254 x 140,140,683.5,253.7,12.4,19,20,645.5,605.5,17840,2.323,1377200000,4029000,4604,276,9343,51850000,408700,639900,53000,73,1787000,5.71E+12,1,1,4,4
UB 686 x 254 x 125,125,677.9,253,11.7,16.2,20,645.5,605.5,15950,2.31,1194400000,3524000,4040,272,8733,43850000,346600,544100,52000,67,1243000,4.79E+12,1,2,4,4
UB 610 x 325 x 551,551,711,347,38.6,69.1,20,573,533,70408.84,2.698,5590700000,15720000,18650,281,27880,484100000,2790000,4381000,82000,200,85770000,4.96E+13,1,1,1,1
UB 610 x 325 x 498,498,699,343,35.1,63,20,573,533,63673.66,2.665,4962200000,14190000,16720,279,25180,425900000,2483000,3889000,81000,184,64770000,4.28E+13,1,1,1,1
UB 610 x 325 x 455,455,689,340,32,57.9,20,573,533,58057.76,2.64,4460800000,12940000,15140,277,22850,380900000,2241000,3500000,80000,171,50040000,3.78E+13,1,1,1,1
UB 610 x 325 x 415,415,679,338,29.5,53.1,20,573,533,53136.56,2.617,4013200000,11820000,13750,274,20930,343000000,2030000,3164000,80000,159,38760000,3.35E+13,1,1,1,1
UB 610 x 325 x 372,372,669,335,26.4,48,20,573,533,47630.56,2.591,3547900000,10600000,12240,272,18650,301700000,1801000,2799000,79000,145,28500000,2.90E+13,1,1,1,1
UB 610 x 325 x 341,341,661,333,24.4,43.9,20,573,533,43566.84,2.571,3198400000,9677000,11120,270,17150,270900000,1627000,2525000,78000,135,21950000,2.57E+13,1,1,1,1
UB 610 x 325 x 307,307,653,330,22.1,39.9,20,573,533,39345.08,2.547,2852300000,8736000,9984,269,15480,239500000,1452000,2247000,78000,125,16450000,2.25E+13,1,1,1,2
UB 610 x 325 x 285,285,647,329,20.6,37.1,20,573,533,36554.84,2.534,2622800000,8107000,9230,267,14390,220600000,1341000,2073000,77000,118,13280000,2.05E+13,1,1,1,2
UB 610 x 325 x 262,262,641,327,19,34,20,573,533,33466.36,2.518,2375500000,7411000,8405,266,13230,198500000,1214000,1874000,77000,110,10270000,1.83E+13,1,1,2,3
UB 610 x 325 x 241,241,635,329,17.9,31,20,573,533,30998.06,2.516,2169900000,6834000,7726,264,12390,184300000,1120000,1728000,77000,103,8022000,1.68E+13,1,1,2,3
UB 610 x 325 x 217,217,628,328,16.5,27.7,20,573,533,27962.46,2.501,1923600000,6126000,6903,262,11350,163100000,995000,1533000,76000,95,5861000,1.47E+13,1,1,3,4
UB 610 x 325 x 195,195,622,327,15.4,24.4,20,573,533,25128.24,2.487,1694500000,5448000,6129,259,10520,142400000,871000,1342000,75000,87,4183000,1.27E+13,1,1,4,4
UB 610 x 325 x 174,174,616,325,14,21.6,20,573,533,22402.56,2.47,1487200000,4828000,5417,257,9528,123700000,761600,1172000,74000,80,2975000,1.09E+13,1,1,4,4
UB 610 x 325 x 155,155,611,324,12.7,19,20,573,533,19932.46,2.458,1305500000,4273000,4783,255,8621,107800000,665700,1024000,73000,74,2095000,9.44E+12,1,2,4,4
UB 610 x 305 x 238,238,635.8,311.4,18.4,31.4,20,573,533,30330,2.446,2103300000,6616000,7516,262,12720,158300000,1017000,1575000,72000,104,8029000,1.44E+13,1,1,2,3
UB 610 x 305 x 179,179,620.2,307.1,14.1,23.6,20,573,533,22810,2.406,1538800000,4962000,5578,259,9699,114100000,743100,1145000,70000,84,3505000,1.01E+13,1,1,4,4
UB 610 x 305 x 149,149,612.4,304.8,11.8,19.7,20,573,533,19000,2.386,1267300000,4139000,4624,257,8125,93090000,610800,938600,69000,74,2076000,8.17E+12,1,1,4,4
UB 610 x 229 x 153,153,623,229,14,24.9,20,573,533,19770,2.1,1267500000,4069000,4657,253,9712,50010000,436800,684900,50000,87,3158000,4.46E+12,1,1,4,4
UB 610 x 229 x 140,140,617.2,230.2,13.1,22.1,20,573,533,17820,2.095,1133900000,3674000,4199,250,9023,45080000,391700,613900,50000,80,2334000,3.98E+12,1,1,4,4
UB 610 x 229 x 125,125,612.2,229,11.9,19.6,20,573,533,15930,2.082,1002200000,3274000,3733,249,8179,39350000,343600,537700,49000,74,1682000,3.44E+12,1,1,4,4
UB 610 x 229 x 113,113,607.6,228.2,11.1,17.3,20,573,533,14390,2.071,889300000,2927000,3338,246,7587,34360000,301200,471500,48000,69,1230000,2.98E+12,1,1,4,4
UB 610 x 229 x 101,101,602.6,227.6,10.5,14.8,20,573,533,12890,2.06,773900000,2568000,2938,243,7107,29170000,256300,402400,47000,63,866700,2.51E+12,1,1,4,4
UB 610 x 178 x 92,92,603,179,10.9,15,13,573,547,11760,1.878,646800000,2145000,2514,234,6944,14410000,161000,258500,35000,56,713000,1.24E+12,1,1,4,4
UB 610 x 178 x 82,82,599,178,10,12.8,13,573,547,10440,1.868,560300000,1870000,2198,231,6339,12080000,135800,218200,34000,50,490700,1.03E+12,1,2,4,4
UB 533 x 312 x 409,409,613,327,31,55.6,25,501.9,475.9,52454.7,2.429,3192400000,10410000,12210,246,20590,325500000,1990000,3104000,78000,171,43430000,2.52E+13,1,1,1,1
UB 533 x 312 x 369,369,603,324,27.9,50.5,25,501.9,475.9,47266.3,2.403,2830700000,9388000,10920,244,18470,287300000,1774000,2758000,77000,158,32460000,2.18E+13,1,1,1,1
UB 533 x 312 x 332,332,593,322,25.4,45.5,25,501.9,475.9,42589.3,2.38,2501000000,8435000,9753,242,16710,254000000,1577000,2449000,77000,145,23990000,1.90E+13,1,1,1,1
UB 533 x 312 x 300,300,585,319,23.1,41.4,25,501.9,475.9,38550.52,2.357,2231200000,7628000,8767,240,15160,224600000,1408000,2182000,76000,135,18100000,1.65E+13,1,1,1,1
UB 533 x 312 x 272,272,577,317,21.1,37.6,25,501.9,475.9,34962.88,2.337,1991200000,6902000,7889,238,13790,200100000,1262000,1953000,75000,125,13670000,1.45E+13,1,1,1,1
UB 533 x 312 x 248,248,571,315,19,34.5,25,501.9,475.9,31809.5,2.321,1798700000,6300000,7159,237,12450,180100000,1143000,1765000,75000,117,10520000,1.29E+13,1,1,1,2
UB 533 x 312 x 219,219,560,318,18.3,29.2,25,501.9,475.9,28286.98,2.312,1534100000,5479000,6211,232,11710,156800000,986600,1526000,74000,105,7019000,1.10E+13,1,1,1,2
UB 533 x 312 x 196,196,554,316,16.5,26.3,25,501.9,475.9,25431.2,2.296,1363600000,4922000,5554,231,10550,138600000,877300,1354000,73000,98,5184000,9.63E+12,1,1,2,3
UB 533 x 312 x 182,182,551,315,15.2,24.4,25,501.9,475.9,23541.94,2.289,1259200000,4570000,5137,231,9760,127300000,808600,1246000,73000,93,4164000,8.81E+12,1,1,3,4
UB 533 x 312 x 165,165,546,313,14,22.2,25,501.9,475.9,21456.1,2.273,1133300000,4151000,4651,229,8979,113600000,726300,1118000,72000,87,3198000,7.78E+12,1,1,3,4
UB 533 x 312 x 150,150,543,312,12.7,20.3,25,501.9,475.9,19584.18,2.266,1032200000,3801000,4243,229,8189,102900000,659800,1014000,72000,82,2474000,7.02E+12,1,1,4,4
UB 533 x 210 x 122,122,544.5,211.9,12.7,21.3,13,501.9,475.9,15540,1.889,760800000,2794000,3197,221,7343,33870000,319700,499700,46000,70,1788000,2.31E+12,1,1,4,4
UB 533 x 210 x 109,109,539.5,210.8,11.6,18.8,13,501.9,475.9,13890,1.877,668600000,2478000,2830,219,6673,29420000,279200,435800,46000,64,1267000,1.99E+12,1,1,4,4
UB 533 x 210 x 101,101,536.7,210,10.8,17.4,13,501.9,475.9,12870,1.869,615500000,2293000,2613,218,6205,26920000,256300,399500,45000,60,1013000,1.81E+12,1,1,4,4
UB 533 x 210 x 92,92.1,533.1,209.3,10.1,15.6,13,501.9,475.9,11740,1.861,552600000,2073000,2361,216,5777,23890000,228300,355600,45000,56,759500,1.60E+12,1,1,4,4
UB 533 x 210 x 82,82.2,528.3,208.8,9.6,13.2,13,501.9,475.9,10470,1.85,475700000,1801000,2060,213,5433,20070000,192200,300400,43000,51,517500,1.33E+12,1,2,4,4
UB 533 x 165 x 85,85,535,166,10.3,16.5,13,502,476,10790,1.691,485800000,1816000,2105,212,5914,12630000,152200,241800,34000,58,739800,8.45E+11,1,1,4,4
UB 533 x 165 x 74,74,529,166,9.7,13.6,13,502,476,9530,1.68,410900000,1553000,1810,207,5498,10410000,125400,200300,33000,52,482000,6.89E+11,1,1,4,4
UB 533 x 165 x 66,66,525,165,8.9,11.4,13,502,476,8380,1.67,351000000,1337000,1563,204,5012,8573000,103900,166100,31000,46,321500,5.63E+11,1,2,4,4
UB 457 x 279 x 464,464,567,305,38.6,69.6,20,428,388,59312.44,2.242,2910000000,10260000,12390,221,22320,331300000,2172000,3404000,74000,201,75050000,2.04E+13,1,1,1,1
UB 457 x 279 x 421,421,555,302,35.6,63.5,20,428,388,53934.16,2.212,2576800000,9286000,11120,218,20380,293200000,1942000,3038000,73000,186,57310000,1.76E+13,1,1,1,1
UB 457 x 279 x 384,384,545,299,32.5,58.4,20,428,388,49183.06,2.187,2304900000,8458000,10050,216,18490,261500000,1749000,2730000,72000,172,44380000,1.54E+13,1,1,1,1
UB 457 x 279 x 349,349,535,296,29.5,53.6,20,428,388,44694.66,2.161,2053500000,7676000,9059,214,16680,232700000,1572000,2447000,72000,160,34100000,1.34E+13,1,1,1,1
UB 457 x 279 x 315,315,525,293,26.9,48.5,20,428,388,40277.56,2.134,1809600000,6893000,8075,211,15100,204100000,1393000,2165000,71000,147,25360000,1.15E+13,1,1,1,1
UB 457 x 279 x 286,286,517,291,24.4,44.4,20,428,388,36632.24,2.115,1621800000,6274000,7296,210,13650,182900000,1257000,1949000,70000,136,19420000,1.02E+13,1,1,1,1
UB 457 x 279 x 260,260,509,289,22.6,40.4,20,428,388,33371.88,2.094,1448000000,5689000,6579,208,12540,163000000,1128000,1747000,69000,126,14780000,8.92E+12,1,1,1,1
UB 457 x 279 x 235,235,501,287,20.6,36.6,20,428,388,30164.44,2.074,1284500000,5127000,5892,206,11370,144500000,1007000,1557000,69000,117,11060000,7.77E+12,1,1,1,1
