Section,Mass,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Compression_Class_S355,Compression_Class_S460
UB 356 x 127 x 39,39.1,353.4,126,6.6,10.7,10,332,312,4980,1.18,101600000,575100,657.9,142,2561,3578000,56790,89020,26000,39,150200,1.05E+11,1,1,4,4
UB 356 x 127 x 33,33.1,349,125.4,6,8.5,10,332,312,4210,1.17,82400000,472200,542.3,139,2298,2802000,44690,70260,25000,34,87360,80970000000,1,2,4,4
UB 305 x 165 x 54,54,310.4,166.9,7.9,13.7,9,283,265,6880,1.257,116900000,753700,846.2,130,2660,10620000,127300,195600,39000,45,348300,2.34E+11,1,1,3,4
UB 305 x 165 x 46,46.1,306.6,165.7,6.7,11.8,9,283,265,5870,1.247,99010000,645800,720.2,129,2257,8956000,108100,165500,39000,40,222300,1.94E+11,1,1,4,4
UB 305 x 165 x 40,40.3,303.4,165,6,10.2,9,283,265,5130,1.239,85050000,560600,623.2,128,2012,7643000,92650,141700,38000,36,147600,1.64E+11,1,2,4,4
UB 305 x 127 x 48,48.1,311,125.3,9,14,9,283,265,6120,1.09,95770000,615900,710.8,125,2994,4610000,73590,116000,27000,47,318200,1.01E+11,1,1,2,3
UB 305 x 127 x 42,41.9,307.2,124.3,8,12.1,9,283,265,5340,1.08,81980000,533700,613.7,123,2648,3887000,62550,98420,26000,42,211700,84310000000,1,1,3,4
UB 305 x 127 x 37,37,304.4,123.4,7.1,10.7,9,283,265,4720,1.073,71730000,471300,539.6,123,2347,3361000,54480,85420,26000,39,147900,72260000000,1,1,4,4
UB 305 x 102 x 33,32.8,312.7,102.4,6.6,10.8,8,291.1,275.1,4180,1.008,65120000,416500,481.5,124,2220,1941000,37910,60070,21000,37,123000,44030000000,1,1,4,4
UB 305 x 102 x 28,28.2,308.7,101.8,6,8.8,8,291.1,275.1,3590,0.999,53760000,348300,403.6,122,1995,1553000,30520,48480,20000,32,74780,34790000000,1,1,4,4
UB 305 x 102 x 25,24.8,305.1,101.6,5.8,7,8,291.1,275.1,3160,0.991,44660000,292700,342.7,118,1895,1229000,24200,38830,19000,29,48330,27180000000,1,1,4,4
